As,Argmax_Model_Trees,Argmax_True_Trees,Argmax_Model_Mask,Argmax_True_Mask,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Upwards_Model_Trees,Upwards_True_Trees,Upwards_Model_Mask,Upwards_True_Mask,Upwards_Model_Accuracy,Upwards_True_Accuracy,Upwards_Model_Uniques,Upwards_Model_Valids_Uniques,Upwards_Model_Valids,Upwards_True_Uniques,Upwards_True_Valids_Uniques,Upwards_True_Valids,altUpwards_Model_Trees,altUpwards_True_Trees,altUpwards_Model_Mask,altUpwards_True_Mask,altUpwards_Model_Accuracy,altUpwards_True_Accuracy,altUpwards_Model_Uniques,altUpwards_Model_Valids_Uniques,altUpwards_Model_Valids,altUpwards_True_Uniques,altUpwards_True_Valids_Uniques,altUpwards_True_Valids
"[1 1 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1
 1 1 0 0 1 1 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 1 1 1 1 0 0 0 0 1 1 0
 1 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1
 0 1 0 1 0 0 0 0 0 0]",[1 0 4 2 0 0 0 2 0 2 0],[ 0  4  9  8 10  6  1  2  9  5  6],False,False,0.25,0.46875,"[2, 10, 9, 4, 7, 0, 2, 5, 2, 6, 0]","[4, 5, 7, 5, 2, 4, 1, 5, 0, 4, 7]",False,False,0.0,0.0,[1. 1. 9. 3. 0. 7. 8. 3. 4. 6. 5.],[ 0.  4.  3.  9. 10.  7.  8.  2.  9.  5.  6.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[6. 1. 2. 4. 0. 0. 6. 2. 6. 2. 6.],[0. 2. 9. 9. 2. 6. 0. 2. 5. 5. 8.],False,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 0 1 0 1 1 1 0 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1
 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0
 1 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1 0 1
 1 1 0 0 1 0 1 1 1 0]",[0 2 0 1 0 0 0 1 0 0 2],[ 0  6  7  6  3  8  1  4  0 10  5],True,False,0.25,0.46875,"[0, 4, 3, 7, 7, 5, 8, 9, 6, 8, 8]","[2, 7, 7, 10, 3, 9, 9, 6, 4, 6, 3]",False,False,0.0,0.0,[ 0.  4.  9.  1.  4. 10.  2.  7.  3.  9.  7.],[ 0.  5.  7.  6.  6.  4.  0.  3.  1. 10.  8.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[10.  1.  7.  6.  0.  5.  8.  1.  9.  0.  5.],[ 0.  5.  9.  1.  0.  3.  8. 10.  9. 10.  2.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 1 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1
 0 1 1 1 0 0 0 1 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0
 1 0 0 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 0 0 0
 1 0 1 0 0 0 1 0 0 0]",[0 0 0 5 0 0 1 0 0 4 5],[ 0  6  5 10  2  6  7  4  1  4  8],True,False,0.25,0.46875,"[4, 0, 8, 2, 10, 3, 0, 9, 3, 5, 2]","[8, 7, 5, 10, 3, 2, 8, 0, 4, 9, 2]",False,False,0.0,0.0,[1. 3. 2. 5. 0. 9. 6. 7. 6. 9. 8.],[0. 6. 5. 9. 0. 1. 8. 4. 7. 5. 3.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[1. 1. 0. 5. 7. 0. 7. 9. 1. 5. 5.],[0. 3. 6. 8. 8. 6. 7. 3. 1. 5. 5.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0
 0 0 0 0 0 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 1 0 0 0 0 0 1 0
 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 1 1 1
 1 0 1 1 1 1 1 0 0 0]",[0 1 1 1 0 2 0 1 2 0 1],[0 9 8 1 0 2 5 5 6 0 1],False,False,0.25,0.46875,"[10, 5, 4, 10, 5, 5, 0, 4, 7, 6, 7]","[1, 10, 0, 7, 6, 8, 0, 10, 4, 2, 3]",False,False,0.0,0.0,[ 3.  1.  1.  3.  2. 10.  6.  0.  9.  6.  8.],[ 0.  9.  0.  5.  0. 10.  8.  1.  2.  6.  4.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 5.  2.  5.  1. 10. 10.  6. 10.  9.  1.  4.],[ 0.  2.  1.  4.  0.  2.  9. 10.  6.  0.  9.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 1
 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 0 1 1 0 1 0 0 1 1
 1 0 1 0 0 1 1 1 0 1 0 1 0 1 1 1 1 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0
 0 1 1 1 1 0 0 0 1 1]",[0 0 2 1 5 0 1 0 0 4 0],[0 8 9 2 5 0 3 6 0 4 2],False,True,0.25,0.46875,"[5, 10, 5, 3, 0, 3, 4, 7, 1, 0, 2]","[1, 7, 8, 3, 4, 4, 2, 10, 9, 8, 4]",False,False,0.0,0.0,[ 2.  5.  7.  3. 10.  0.  3.  4.  1.  8. 10.],[ 0.  8.  9.  7. 10.  2.  3.  0.  7.  4.  6.],False,True,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 2.  0.  7. 10.  5.  0.  3.  0.  0. 10.  0.],[ 0.  6.  8.  2. 10.  3.  3.  4.  6. 10.  2.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 0 1
 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 1 1 0 1 1 0 0
 1 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 1 1 0 0 0 1 1
 0 1 1 0 0 0 0 0 1 1]",[1 0 0 3 1 4 1 1 1 1 1],[ 0  0  0 10  1  4  3  8  2  2  3],False,False,0.25,0.46875,"[6, 3, 4, 2, 8, 7, 9, 0, 4, 2, 3]","[5, 5, 7, 6, 9, 6, 9, 7, 9, 8, 4]",False,False,0.0,0.0,[0. 0. 9. 3. 4. 4. 7. 3. 2. 9. 6.],[0. 5. 6. 8. 7. 5. 9. 2. 4. 4. 3.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 1.  9.  7. 10.  7.  6.  3.  1.  2.  1.  2.],[0. 9. 0. 8. 7. 4. 9. 8. 4. 7. 9.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0
 1 0 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 0 1 1 0 0
 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1
 1 1 0 1 0 0 0 0 1 1]",[1 0 1 3 0 1 2 1 0 1 0],[0 0 6 3 0 1 5 1 7 4 2],False,True,0.25,0.46875,"[8, 1, 10, 10, 7, 1, 4, 3, 1, 10, 5]","[4, 4, 2, 1, 5, 2, 8, 3, 3, 4, 0]",False,False,0.0,0.0,[ 0. 10.  9.  3.  6.  2.  6.  8.  0.  4. 10.],[ 0.  9. 10.  3.  0.  3.  5.  1.  4.  2.  6.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[4. 5. 1. 3. 3. 1. 3. 3. 7. 8. 0.],[ 0.  9.  9.  3. 10.  2.  2.  1.  4.  5.  0.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1 1 1 0
 1 0 1 1 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1
 0 1 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1 0 1 0 1 0 0 1 1 0
 1 0 1 0 1 0 1 1 1 0]",[1 0 3 3 3 0 0 1 0 5 1],[0 8 9 5 3 4 0 1 0 6 1],False,False,0.25,0.46875,"[6, 7, 1, 4, 6, 6, 4, 6, 4, 6, 9]","[3, 10, 4, 1, 8, 3, 9, 6, 4, 5, 7]",False,False,0.0,0.0,[ 0.  3.  2.  6.  9.  7.  4. 10.  0.  5. 10.],[ 0.  5.  9.  7.  1.  9.  0.  6.  4. 10.  3.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 1.  0.  3.  3.  3.  4.  0. 10.  0.  6.  1.],[0. 0. 9. 5. 9. 4. 0. 6. 4. 5. 9.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1
 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 0 0 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0
 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 0 0 0 1
 1 1 0 0 1 1 1 0 1 0]",[0 0 0 0 0 0 1 0 0 1 1],[0 5 7 4 2 8 7 8 6 5 6],True,False,0.25,0.46875,"[10, 5, 5, 1, 9, 10, 8, 5, 2, 3, 6]","[6, 3, 7, 0, 5, 0, 0, 2, 6, 4, 5]",False,False,0.0,0.0,[ 0.  1. 10.  3.  4.  2.  1.  0.  5.  3.  6.],[ 0.  6.  9.  0.  2. 10.  7.  8.  5.  1. 10.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 0.  0. 10.  9.  2.  0.  2.  0.  0.  4.  3.],[ 0.  2. 10.  9.  1.  6.  9.  8.  4.  5.  6.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 0 1 1 0 0 1
 1 1 1 1 1 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0 1 1 1 1 1 1 0 1 1 0 1
 0 0 1 1 1 0 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1 1 1
 0 1 1 0 0 0 1 1 0 1]",[1 0 0 1 0 0 1 0 1 4 0],[ 0  5  6  4  0  3  3 10  5  5  0],False,True,0.25,0.46875,"[9, 0, 10, 3, 4, 5, 8, 2, 0, 7, 10]","[7, 0, 10, 2, 4, 4, 4, 1, 2, 10, 9]",False,False,0.0,0.0,[0. 7. 8. 3. 4. 5. 1. 3. 8. 2. 6.],[ 0.  5.  6. 10.  8.  0.  3.  4.  1.  4.  7.],False,True,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[0. 1. 0. 1. 9. 1. 1. 1. 1. 5. 2.],[ 0.  5. 10.  4.  1.  7.  9. 10.  5.  4.  0.],False,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 1 1 1 0 0 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 0 1 1 1 1 1 1 0 1 0 1 1 0 0
 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 0 0
 1 1 0 0 0 1 1 0 0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1
 0 1 1 0 0 1 1 0 1 1]",[0 0 0 0 0 2 2 0 3 0 1],[0 5 7 4 0 6 9 9 3 4 8],True,True,0.25,0.46875,"[6, 10, 8, 8, 4, 4, 1, 5, 5, 9, 9]","[2, 4, 2, 4, 5, 6, 10, 10, 10, 6, 7]",False,False,0.0,0.0,[5. 1. 7. 6. 4. 5. 6. 8. 3. 0. 1.],[ 0.  8.  0. 10.  5.  6.  9.  2.  7.  3.  1.],False,True,0.0,0.1875,1.0,0.0,0.0,0.8,0.0,0.0,[10.  1.  1.  0.  1.  2.  6.  9.  5.  2. 10.],[ 0.  3.  7.  7.  2.  6.  9.  8.  3. 10.  8.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
